,,,,,,
"PERÍODO_LECTIVO TIPO_DE_PERÍODO_LECTIVO","ID","SIGLA","NOME","CURSO","REGENTE","RESPONSÁVEL"
"Anual",8929,"CD","Conferência Doutoral","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Luís Manuel Camarinha de Matos","Luís Manuel Camarinha de Matos"
"Anual",9599,"DEBG","Dissertação em Ensino de Biologia e Geologia","Mestrado em Ensino de Biologia e da Geologia","João José de Carvalho Correia de Freitas","Vítor Manuel Neves Duarte Teodoro"
"Anual",9891,"EP","Estágio Pedagógico","Mestrado em Ensino da Matemática","Maria Helena Coutinho Gomes Almeida Santos","Maria Helena Coutinho Gomes Almeida Santos"
"Anual",8927,"MTIC","Metodologias e Técnicas de Investigação Científica","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Luís Manuel Camarinha de Matos","Luís Manuel Camarinha de Matos"
"Anual",8928,"ME","Métodos de Empreendedorismo","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Luís Manuel Camarinha de Matos","Luís Manuel Camarinha de Matos"
"Anual",8930,"PI","Planeamento de Investigação","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Luís Manuel Camarinha de Matos","Luís Manuel Camarinha de Matos"
"Anual",9487,"PT","Preparação do Projecto de Tese","Programa Doutoral em Engenharia Química e Bioquímica","José Paulo Barbosa Mota","José Paulo Barbosa Mota"
"Anual",9796,"Prj","Projecto","Programa Doutoral em Engenharia Biomédica","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"Anual",9797,"Prj","Projecto","Programa Doutoral em Engenharia Física","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"Anual",9709,"PInv","Projecto de Investigação","Programa Doutoral em Estatística e Gestão do Risco","João Tiago Praça Nunes Mexia","João Tiago Praça Nunes Mexia"
"Anual",9526,"PT Bq","Projecto de Tese em Bioquímica","Programa Doutoral em Bioquímica","Maria João Lobo de Reis Madeira Crispim Romão","Maria João Lobo de Reis Madeira Crispim Romão"
"Anual",9610,"PT Bt","Projecto de Tese em Biotecnologia","Programa Doutoral em Biotecnologia","Susana Filipe Barreiros","Susana Filipe Barreiros"
"Anual",9870,"SI(CC)","Seminário de Investigação (Ciências da Conservação)","Programa Doutoral em Conservação e Restauro","Maria João Seixas de Melo","Maria João Seixas de Melo"
"Anual",9795,"TAT","Tese em Avaliação de Tecnologia","Programa Doutoral em Avaliação de Tecnologia","António Paulo Brandão Moniz de Jesus","António Paulo Brandão Moniz de Jesus"
"Anual",9604,"Tes.Biol","Tese em Biologia","Programa Doutoral em Biologia","Isabel Maria Godinho de Sá Nogueira","Isabel Maria Godinho de Sá Nogueira"
"Anual",9533,"BIOQ","Tese em Bioquímica","Programa Doutoral em Bioquímica","Maria João Lobo de Reis Madeira Crispim Romão","Maria João Lobo de Reis Madeira Crispim Romão"
"Anual",9317,"Tese","Tese em Ciência e Engenharia de Materiais","Programa Doutoral em Ciência e Engenharia de Materiais","Maria Teresa Varanda Cidade","Maria Teresa Varanda Cidade"
"Anual",9436,"TesEEC","Tese em Engenharia Electrotécnica e de Computadores","Programa Doutoral em Engenharia Electrotécnica e de Computadores","Luís Manuel Camarinha de Matos","Luís Manuel Camarinha de Matos"
"Anual",9513,"EQ/EB","Tese em Engenharia Química e Bioquímica","Programa Doutoral em Engenharia Química e Bioquímica","José Paulo Barbosa Mota","José Paulo Barbosa Mota"
"Anual",9335,"TNN","Tese em Nanotecnologias e Nanociências","Programa Doutoral em Nanotecnologias e Nanociências","Elvira Maria Correia Fortunato","Elvira Maria Correia Fortunato"
"Anual",9701,"T. Quím.","Tese em Química","Programa Doutoral em Química","Fernando Jorge da Silva Pina","Fernando Jorge da Silva Pina"
"1º Sem",7308,"AEE","Accionamentos Electromecânicos Especiais","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Amadeu Leão Santos Rodrigues","Amadeu Leão Santos Rodrigues"
"1º Sem",7308,"AEE","Accionamentos Electromecânicos Especiais","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Amadeu Leão Santos Rodrigues","Amadeu Leão Santos Rodrigues"
"1º Sem",8508,"AV","Actuariado Vida","Mestrado em Matemática e Aplicações","Maria de Lourdes Belchior Afonso","Manuel Leote Tavares Inglês Esquível"
"1º Sem",5290,"AA","Acústica e Audiologia","Mestrado Integrado em Engenharia Biomédica","Carlos Jorge Mariano Miranda Dias","Elvira Maria Correia Fortunato"
"1º Sem",9235,"ADSIR","Algorithms and Data Structures for Information Retrieval","Programa Doutoral em Informática","Luis Manuel Silveira Russo","Luís Fernando Lopes Monteiro"
"1º Sem",8145,"AED","Algoritmos e Estruturas de Dados","Licenciatura em Engenharia Informática","Margarida Paula Neves Mamede","Luís Fernando Lopes Monteiro"
"1º Sem",8145,"AED","Algoritmos e Estruturas de Dados","Mestrado em Matemática e Aplicações","Margarida Paula Neves Mamede","Luís Fernando Lopes Monteiro"
"1º Sem",7324,"AT","Alta Tensão","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Mário Fernando Ventim Neves","Amadeu Leão Santos Rodrigues"
"1º Sem",7324,"AT","Alta Tensão","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Mário Fernando Ventim Neves","Amadeu Leão Santos Rodrigues"
"1º Sem",7813,"AC","Análise Complexa","Licenciatura em Matemática","Maria Fernanda Alves da Veiga de Oliveira","Bento José Carrilho Miguens Louro"
"1º Sem",7813,"AC","Análise Complexa","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Maria Fernanda Alves da Veiga de Oliveira","Bento José Carrilho Miguens Louro"
"1º Sem",8494,"AC","Análise Curricular","Mestrado em Ensino da Matemática","Andreia Silva dos Santos Marques","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",7888,"AA1","Análise de Alimentos I","Mestrado em Tecnologia e Segurança Alimentar","Ana Lúcia Monteiro Durão Leitão","Benilde Simões Mendes"
"1º Sem",9400,"AE","Análise de Estruturas","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Corneliu Cismasiu","Corneliu Cismasiu"
"1º Sem",9377,"AEG","Análise de Estruturas Geotécnicas","Estudos Gerais","Nuno Manuel da Costa Guerra","Nuno Manuel da Costa Guerra"
"1º Sem",7579,"AE1","Análise de Estruturas I","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Corneliu Cismasiu","Corneliu Cismasiu"
"1º Sem",7579,"AE1","Análise de Estruturas I","Mestrado em Engenharia Civil (Reabilitação de Edifícios)","Corneliu Cismasiu","Corneliu Cismasiu"
"1º Sem",7579,"AE1","Análise de Estruturas I","Mestrado Integrado em Engenharia Civil","Corneliu Cismasiu","Corneliu Cismasiu"
"1º Sem",8465,"AP","Análise de Projectos","Mestrado em Energia e Bioenergia","Fernando Maria de Gamboa Abecassis Manzanares","Benilde Simões Mendes"
"1º Sem",7155,"AMSA","Análise e Métodos Socio-Ambientais","Mestrado Integrado em Engenharia do Ambiente","Maria da Graça Madeira Martinho","Lia Maldonado Teles de Vasconcelos"
"1º Sem",7107,"A E","Análise Estrutural","Estudos Gerais","António Gil de Oliveira Santos","Maria Teresa Barros Silva"
"1º Sem",7107,"A E","Análise Estrutural","Licenciatura em Química Aplicada","António Gil de Oliveira Santos","Maria Teresa Barros Silva"
"1º Sem",3095,"AM.1a","Análise Matemática I A","Licenciatura em Matemática","Bento José Carrilho Miguens Louro","Bento José Carrilho Miguens Louro"
"1º Sem",5000,"AM.1B","Análise Matemática I B","Licenciatura em Engenharia de Telecomunicações e Computadores","Ana Maria de Sousa Alves de Sá","Bento José Carrilho Miguens Louro"
"1º Sem",5000,"AM.1B","Análise Matemática I B","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Ana Maria de Sousa Alves de Sá","Bento José Carrilho Miguens Louro"
"1º Sem",5000,"AM.1B","Análise Matemática I B","Mestrado Integrado em Engenharia Física","Ana Maria de Sousa Alves de Sá","Bento José Carrilho Miguens Louro"
"1º Sem",5001,"AM.1c","Análise Matemática I C","Licenciatura em Ciências da Natureza","Ana Luísa da Graça Batista Custódio","Bento José Carrilho Miguens Louro"
